uid,page_title,page_author,page_time,page_content,viewHref
2045009,"[汇总]
售罄～～～～～～～～",诚信你好,2017-1-8 09:30:18," 本帖最后由 诚信你好 于 2017-1-13 22:44 编辑 

售罄～～～～～～～～",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045009
2045015,"[配件]
游戏机械键盘",120410102,2017-1-8 13:33:39,"全新，只拆开看了一下，昨天京东刚到的，网址是https://item.jd.com/4212338.html，有想要的联系qq微信270286303，价格150
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045015
2045005,"[招领/寻物]
正确对待成绩",Mixture,2017-1-7 22:39:42,经历过失败的人，才有可能获得成功。来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045005
2045014,"[讨论]
十一公寓洗衣机炸了",伍贰叁零陆,2017-1-8 12:30:04,如题，六楼，洗漱的时候看到洗衣机开始脱水阶段时，应该是里边的衣服没放好，洗衣机转起来，来回晃，好像里边放了块砖头，特别响，洗衣机都挪位了，希望赶快维修一下，省得再出什么事故来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045014
2045010,"[租房]
童鞋们，快放假了，知道最懂你的威海特产在哪吗？",zzyzzy,2017-1-8 09:30:50," 本帖最后由 zzyzzy 于 2017-1-8 09:53 编辑 

“学长，威海有什么比较好的特产，推荐一下呗。”
“特产啊，让我想想……”



每年的这个时候，总会有学弟学妹来问我到哪去买威海的特产。

毕竟都是第一次离开家乡，来到这么远的地方上大学，不带点特产仿佛很说不过去。
回想起我大一的时候，当时也不知道去哪里买特产，于是就跟着同学一起去菜市场买了一些散称海鲜，一共花了200来块钱。

结果拿回家之后，老爸老妈竟然吃坏了肚子。不得不说，我大一时买的威海特产是十分失败的。
但是环顾四周，身边的人也没好到哪去。
有的像我一样，买完带回家都变质了；有的买的的味道不好不正宗；
有的买的没特色，家那边也有卖；有的被商家坑了，价格贵的不是一星半点，
借用托尔斯泰的一句话：幸运的特产总是相同的，不幸的特产各有各的不幸。

买特产一定要慎重啊！

为什么买到称心如意的特产会这么难呢？
而我，又能做些什么呢？
能不能建立一个平台，帮学弟学妹们挑一些真正健康安全又好吃的特产带回家，减轻他们的负担呢？

嗯，这个想法可以有！

说干就干，迅速组建团队后，我便正式开始了既蜗窝咖啡之后的二次创业。
对了，忘了自我介绍，我叫薛林彬。
是哈工大一名大四的学生，也是一名90后创业者。
我和伙伴们一起创立过工大唯一一家校园咖啡厅——蜗窝咖啡。




而这一次，我们要创建一个专为同学们挑选精品特产的综合商城——
小蜗乐购




先定一个小目标。建立一个让每一位学弟学妹都可以轻松买到美味健康实惠便捷还有特色的威海特产平台。
我们对带回家的威海特产有着如下要求：
1）全部来自QS认证企业，食品安全有保证；


（商品实拍）
2）只经过轻度加工，在没有防腐剂的前提下延长储存时间，同时最大限度保证自然鲜美的口感；


（商品实拍）
3）不同于其他过度加工的海鲜零食，取料全部来自威海本地优质水产，完整加工，特色鲜明，诚意十足。


（商品实拍）
为此，我们一共筛选了6家具有QS认证标准的本土企业，实物购买并品尝了82种特产，且仍在继续。


我相信，在这座美丽的海滨小城中，必然有配得上它美丽风光的美味海鲜。
在这座安静祥和的校园里，必须有配得上你真情实意的用心特产。
带给家人的特产，见证着成长，凝聚着心意，因此绝不允许疏漏。
而这份对家人心意的守护，造就了我们对这份事业的认真。



我们希望你们可以在见到爸妈的那一刻，可以自豪地和他们说：
“爸，妈，我回来了。”
“看，这是我给你们买的礼物。”

微信：小蜗乐购，扫描二维码关注

",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045010
2045016,"[求助]
求ANSYS CFX的教程，谢谢",_可然_可然,2017-1-8 14:22:45,求助各位大佬，再次感谢！,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045016
2045017,"[招领/寻物]
话说快放假了食堂不好看做饭了嘛，，，，",736627518,2017-1-8 14:29:22,感觉学子越来越没什么吃的了，来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045017
2045018,"[杂货]
出加湿器电磁炉电风扇，极便宜",辽哥一枝花,2017-1-8 14:47:21,"在外租房的老学长要搬回去了，卖一些电器，有需要的同学可以看看。     1.德尔玛加湿器，4L容量，69.9淘宝买的，现在9成新无损坏，25块钱出。

2.美的电磁炉，家家悦299买的，面板有一块破损但不影响使用，这个不一定有人要就卖30块钱吧。。
3.格力电风扇，上届学长那30买的，6成新无损坏，不能插充电宝。15卖吧
4.充电宝能用的静音小风扇，可用于考研教室，门口小店多少买的忘了，10块钱出吧。
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045018
2045021,"[求租]
出租考研房",shitingshi,2017-1-8 16:23:27,"哈工大院内两室一厅2个单间出租，适合考研党，屋内设施齐全，欲租从速。联系电话：18769125281或15063125668


",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045021
2045020,"[讨论]
手机版bbs怎么取消收藏",伍贰叁零陆,2017-1-8 15:58:53,如题，发现收藏的帖子在手机版上删不掉啊来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045020
2045019,"[求租]
哈大南门50米草厦子出租,有网",linjiye,2017-1-8 15:54:11,"哈大南门50米,向阳草厦子出租,17平左右,有网线,水电,床,独立的卫生间,屋里干净整洁,清静,适合考研一个人住,
月租300元电话:13306316527
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045019
2045022,"[求租]
寒假短租校内单间&草厦子",shitingshi,2017-1-8 16:44:14,"校内单间出租,位置在校内体育场南面家属区，专门租考研或学习的学生，17年考研提前预租，从即日起到三月，寒假期间价格优惠。
地板、衣柜、写字台、床、电脑椅，校内网，卫生间有热水（太阳能和电热水器）淋浴、全自动洗衣机。
租给安静学习的人，有意请联系 ，QQ号：67678909，电话 18606413019，详细了解，可发图。

",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045022
2045023,"[招领/寻物]
话说能不能在最后几天做点能吃的饭，",736627518,2017-1-8 17:11:58,越到学期末学子越没吃的，五点十分就没了。鸡蛋买不到，鸡腿买不到，，，，来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045023
2045029,"[求租]
校内两单间房出租（同时可假期短租，时间1.15--2.25",天津海通戴,2017-1-8 19:16:27,"    校内地址位于情人坡教工宿舍区，为三室一厅的房间。本人住一间，其余两间对外出租。房间位置环境优雅安静。两卧均双人床，室内配有衣柜、热水器、冰箱、全自动洗衣机等。校内网、水、电、暖等齐全，费用均摊。   留校的同学假期也可短租。可分租也可以整租。时间1.15日--2.25日。
   联系电话：13820846874


",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045029
2045024,学期末关于食堂的一些建议,736627518,2017-1-8 17:13:46,如果因为人少了，食堂完全可以少开几层，但是也得认真对待吧，来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045024
2045026,流浪猫,Riot.F,2017-1-8 17:57:25,"纯属水贴吧……学校有猫猫狗狗能接受，毕竟我喜欢猫猫也喜欢狗狗嘛
一看猫猫在寝室阳台上就很心疼想让猫猫进来
可是又害怕传染病啥的……
好纠结",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045026
2045025,外卖不见了,云谲波诡,2017-1-8 17:14:59,"每次都是一接到电话就下楼取外卖 这次就迟了几分钟让外卖小哥放门外桌子上 再下去找就发现没有了 纳尼？？？ 没有了？！我可是饿了一上午啊！！！ 当然外卖小哥也很无辜啊 毕竟是我没能及时取让他放楼下的 
也不知道是谁拿走了我的外卖 查监控倒不是不可以 只是太麻烦了 大概那个拿走我外卖的也是笃定我会嫌麻烦而自认倒霉吧
在此，我要严正批评拿走我外卖的那个人 无论你是出于什么理由 无论你是学生还是学校的工作人员 你都是哈工大（威海）的一份子 这是为人处世的基本道德修养啊 身为哈工大人怎么能这样
再说说理由 如果你是错拿了 你不会放回去吗 我可是来来回回找了好几次 就算你懒得下楼 你就不会打我电话吗 你错拿我亲自来取还不行吗 如果你是错拿却想着将错就错占个小便宜 那就很恶劣了！ 身为哈工大学子你做出这种事不觉得愧对自己的光环吗 我们哈工大需要的是品学兼优的学生 希望你能及时悔改
如果你就是经常这么做的 请你团成一团圆润的离开我们学校 一而再再而三是无法被原谅的 小心哪天被发现颜面扫地不说还得被重罚
如果是学校的固定工作人员或者流动工作人员 所谓举头三尺有神明 请自重 至少在学校还是请收敛一些
我听商家们说6公寓这种现象很严重 我曾今也在6公寓住过 6公寓虽然很破但住久了也觉得很温馨 奉劝某些人收起自己的歪心思 不要破坏了6公寓乃至所有公寓的温馨
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045025
2045030,"[存储]
求个移动硬盘",Jerry_Bing,2017-1-8 19:33:50,"很多东西需要长期保存，需要一个移动硬盘。1T以上。
联系QQ 469326970
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045030
2045028,"[手机]
已出",hxdaaa,2017-1-8 19:15:12," 本帖最后由 hxdaaa 于 2017-1-13 10:36 编辑 

删帖",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045028
2045027,小伙伴有谁知道毛概李曰强老师的电话嘛？,瞌睡毛毛22,2017-1-8 18:01:21,毛概的，小伙伴能告诉我下嘛来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045027
2045031,"[求助]
毛概挂了，怎么办啊",wdzyx123,2017-1-8 20:05:59,"刚查成绩，56分挂了，，我我真的不知道说啥啊，已经出成绩了再去找老师求情有用吗？难道只能补考？但是补考的内容范围会不会和期末考不一样啊，，一本书那么多内容要怎么复习，我的天。。。

就差4分，，，
求助，我该咋办",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045031
2045033,求二手古典吉他，古典吉他，古典吉他,Zalmighty,2017-1-8 20:41:51,玩指弹的，想玩玩古典吉他，有想卖二手的联系我，qq179941011，章同学,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045033
2045032,"[手机]
国行 全新未拆封 苹果7 128g 磨砂黑",honey921,2017-1-8 20:17:54,6号参加苹果官方活动抢的，懂得来，价格5700，威海本地闲鱼面交，大约12号到货。来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045032
2045034,"[求租]
招租",日渐暖,2017-1-8 20:50:18,"出租校内单间，装修好，宽敞明亮，安静舒适。长期租考研boy。假期可短租。详情致电：13100858977
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045034
2045035,某些人也都是有手有脚的人吧,贝壳壳壳壳,2017-1-8 21:32:51,"没敢说你是大学生，但是垃圾桶就在教室前面，自己随手放到垃圾桶有这么难吗？放在桌子下面恶心人
自重吧来自: Android客户端",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045035
2045037,"[招家教]
已经找到，谢谢",空军少校～,2017-1-8 22:21:31," 本帖最后由 空军少校～ 于 2017-1-10 21:17 编辑 

已经招到，谢谢各位同学支持

",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045037
2045038,忘年交•君自故乡来 ——重回记忆中的城,Ms-...,2017-1-8 22:43:34,"忘年交·君自故乡来                 ——重回记忆中的城“忘年交”——一种忘记年龄，超越性别和认知的珍贵友情。文笔峰老年公寓里定居的老人来自全国各地，少有同乡，方言各异，存在难于沟通交流的“特殊孤独”。“君自故乡来，应知故乡事。来日绮窗前，寒梅著花未？”（王维《杂诗三首·其二》）尽管故乡早已经不再是记忆中的样子，但是老人们始终认为——故乡就是自己的根。到了年头，老人们返乡的愿望便更加强烈，但是又因为自己行动不便、牵绊很多，回家就变得不再简单。因此，2017 • 订票哥团队与材料学院团委学生会实践团，共同组织“「忘年交• 君自故乡来」——重回记忆中的城”活动。当我们寒假背上行囊，来到老人的（也许也是自己的）故乡，让我们用手中的相机，记录故乡的景色，捕捉过年的盛况，或搜罗标志性建筑物的“生活照”，为老人寻找那昔日的心中归属。返校时，带着故乡的味道，为老人送去温暖的回忆。一方面帮助老人，与同自己有着相似兴趣爱好的他们产生共鸣，成为“异乡密友”，宽慰老人胸怀；另一方面在与人生阅历丰富的他们的对话中了解人生，学会如何与老人相处，进而衍生出亲情。现特招收如下城市的志愿者（旅游经过有能力帮忙也可以）：山东省：莱阳、淄博-周村区、滕州、烟台-芝罘区、烟台-栖霞、烟台-海阳市辛安镇；黑龙江：佳木斯市-桦川县、绥化市-望奎县、大庆市-让胡路区、大兴安岭地区-漠河县西林吉镇、齐齐哈尔-讷河县；甘肃省：定西市-陇西县巩昌镇、兰州市-城关区；吉林省：长春市-九台市；上海市：卢湾区、浦东新区-高桥镇 备注：1.      坐标精确到市即可，寒假或曾经去这个城市旅游想要和老人进行交流，都欢迎大家的加入；2.      打开链接http://cn.mikecrm.com/RHjrJqX 或点击文章最下方阅读原文即可报名。扫描下方二维码也可以报名哦。


3.      详情可加群：5579-10060（“忘年交”文笔志愿行）。 材料学院团委学生会实践团2017 • 订票
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045038
2045036,"[服饰]
几款休闲鞋和跑鞋",lmf_0060,2017-1-8 22:16:12,"一些休闲鞋和跑鞋，有意者请联系QQ532298131，电话13660581283，请多支持，不喜勿踩，谢谢


",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045036
2045039,【星空摄影从前期到后期】所谓仰望，既是天堂,琉璃璎珞丶,2017-1-8 22:50:45," 本帖最后由 琉璃璎珞丶 于 2017-1-19 23:08 编辑 

[media]http://music.163.com/#/m/song?id=28747428&userid=124734879[/media]




在物理学中我所知道最浪漫的事：你身体里的每一个原子，都来自不同的恒星，我们都是星尘。

作为一个按快门的，我能想到最好的方法便是把它记录下来。
英语考试前实在闲的不行，掏了之前的素材研究了后期方法并且总结了自己前期的不足。

排版爆炸，建议电脑端浏览

------------------------------------分割线------------------------------------
【关于星野摄影】一般星空摄影可大体分为两类：深空摄影和星野摄影。深空摄影太过高大上，这里不细说。主要说说星野摄影。星野摄影相对简单，常见的有星空，银河，星轨，极光，流星雨，罕见的天文奇观。
【前期准备】
时间，位置，天气，云量，月相等。这里推荐一个软件Stellarium

你可以看到银河出现的位置，流星雨的辐射点什么的，当然你需要自己调调时间视角。天气，云量什么的用晴天钟就行。

以及光污染

如果你要拍银河什么的建议查查月相，或者选月亮未升或月落的时间当月月相http://www.skylook.org/info/info/sort_71.html
【器材选择】相机更大画幅的相机当然有更好的弱光表现，但不意味着一般的相机就不能拍。托马斯曾经拿D90拍过银河，我也用不知名的小卡片拍过猎户座，所以用好手里的器材才是正确的选择。镜头理论上讲视角更广光圈更大的镜头最值得选择。但大光圈画质的下降，边缘失光加重；超广角透视变形严重导致不宜后期对齐如果你专门想为了拍星空买一支镜头那么像场均匀和通光量是比较重要的指标附件三脚架，快门线，衣服，食物，水最重要的是你要有一个强健的身体
【理论知识】倒易率光照度和时间的量值可以互相置换，只要曝光量相同，感光片上得到的曝光效果应当是一致的。这种相互作用的关系，就叫做倒易率。说人话就是比如你光圈小了一档，为了满足正常曝光应该增加一档曝光时间或者增加一档ISO光圈每小一档×√2，曝光时间每小一档×2（大于1“当然是÷2了），ISO每大一档×2星空256法则（其实你要是不介意拖一点线到350也行）简单说就是最大曝光时间=256÷镜头等效焦距具体推导：http://mp.weixin.qq.com/s?__biz=MjM5MTk5NDkzNA==&mid=208119855&idx=1&sn=1f90f3c4df7732eafcb4c297225db2ea&scene=21#wechat_redirect（个人使用经验：300可用，350略拖线）堆栈知识
【注意事项】尽可能在三脚架下挂重物提高稳定性可以考虑关闭回放和实时取景节约电量注意保暖建议提前根据地图与查到的方位进行踩点（因为晚上天黑下来真的不！容！易！构！图！）色温设置3500K左右
【一般步骤】提前赶往确定的拍摄地点趁天黑之前找找前景中景，天黑下来打着手电筒构图真的欲生欲死。对准你想拍的方位，等天黑下来，并不时拍一张确认有无误差。（拍照片建议使用超高ISO和短时间快门，方便调整) 及时调整构图，因为星星跑的比你想得要快得多！根据倒易率计算参数高ISO拍摄时最主要噪声来源均为散粒噪声，散粒噪声主要由通光量决定，通光量与快门时间、光圈正相关，快门时间取决于镜头焦距。用人话说就是尽可能延长曝光时间，尽可能用大光圈，但不意味着你可以过曝，高光细节追不回来看你找谁哭。发现说了半天好像是废话，再人话一次就是说最后去管ISO，先看看你能曝光多长时间，再考虑下你能接受多大光圈的画质。ISO只负责把信号放大多少已得到正确的曝光，当然你要是用佳能当我没说
【拍摄思路】单张大法仅拍摄完美的一张，这个时候越广越好越大越好，由后期来帮助降噪。赤道仪法你要是土豪买个赤道仪就完事了，对着银河曝五分钟对着地景曝五分钟回去一合成就行。多张堆栈降噪法连续拍摄多张，后期通过专用软件对齐后进行堆栈降噪，理论上讲每四张可以获得一档的ISO增益不对齐的情况下再次堆栈获得地景，合成即可。（超广边缘的透视效果导致边缘星点难以对其，容易拖线）接片+多张堆栈降噪法用偏中焦的镜头多张合成获得大的视角，同时边缘更好在上面方法的最后讲多张照片拼接全景图就好（耗费时间精力最长，但我们就是乐此不疲的搞这种事情不是么）
【后期处理】DeepSkyStacker提供比PS高一点的对齐算法（可能是我不会用PS的对齐）

虽然DSS可以直接解RAW文件，但我更建议先在PS中进行一次处理矫正镜头像差（畸变和暗角）更利于后期对齐，拼接输出存TIFF，16BIT（dng读过之后没有矫正像差，jpg经过压缩，tiff或成最好选择）开启影响档→载入TIFF序列→勾选全部→侦测勾选影像中的星点→叠合勾选之影像经过漫长的等待会得到一张名为Autosave的32BIT的TIFF文件，但它曝光和色温一定是不正确的好在32BIT的TIFF宽容度爆表后期调调就好
DSS设定

二倍三倍不要勾选，否则可能卡死

选平均也行，不过既然他说了高动态范围

Photoshop Adobe Camera Raw

ACR中打开TIFF，过曝了

简单的调整，减少杂色也就是降噪可以不选

掏个经向滤镜菊部处理下，秘籍是加清晰度高光会让银河部分更亮，白色同理但不要太重口了

地景过曝了有光污染还能拉个渐变

嫌不过瘾还可以掏个画笔自己画但不要搞成天空中一根火腿肠了

完成后在图像→模式中改成16通道再改成8通道方法记得改成曝光度这个，不过你应该忘不了，你试试就知道了（你要是喜欢16通道我也不拦你）
地景堆栈文件→脚本→将文件载入堆栈

记得勾智能对象图层→智能对象→堆栈模式→平均值为啥是平均值？我不说

然后你会看到天空虚了将前景分离如果是比较规则的前景比如山，石头直接拖进去蒙版吧但是这种边缘不规则的树啊什么的，还是抠一下好

我用到的是色彩范围，大佬们也可以用通道啊钢笔啊什么的扣可以看到天空还有些亮的星没有扣出去，不过这个不要紧，拖进去蒙版就好

简单蒙版了下。树有一点点拖影不过我可以说这是风吹的hhhhh

Google Nik Collection一个免费滤镜库，煎蛋醋包几个常用的滤镜详细提取

可以算是加清晰度，但同时会效果于前景，建议配合蒙版使用。阳光

有类似天光镜效果并且柔焦，个人爱好。天光镜

可以给银心上色，但天边光污染也会有影响，建议配合蒙版使用色调对比

这个我说不清楚
Photoshop 色彩平衡配合蒙版控制下颜色

输出前降噪个人喜欢用Nik的Dfine纠正一个错误，细节提取等过程可能会增强部分噪点，导致最后难以去除。Dfine最好放在ACR之后，视情况而定看是否需要输出前再降一次输出前锐化锐化这玩意又能说半天，看个人喜好吧完成

不清楚的欢迎留言，会尽我所能回答（严格意义上来说，这种图片算是合成图，如果参加什么严格的摄影比赛，记得仔细看规则哦）
之前作品



只能传2000px的图想要图的可以加QQ280216869摄影爱好者协会群459024954欢迎你个人图虫https://tuchong.com/1203954/Yinglo20170112
",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045039
2045040,"[配件]
已入手",xiaoqigai,2017-1-9 00:13:44," 本帖最后由 xiaoqigai 于 2017-1-13 22:32 编辑 

想入手个  机械键盘                     想入手个  机械键盘                    想入手个  机械键盘              

最近听说机械键盘很歹毒  正好撸主家的键盘都用   3年了   想换换口味  有木有准备出手的  

不用太好的  我只是玩玩    梦幻西游    或者   倩女幽魂   没必要啦么奢侈






",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045040
2045042,"[公告]
招聘“校花”一名，“校曹”一名",行者楚,2017-1-9 06:22:35," 本帖最后由 行者楚 于 2017-1-9 06:25 编辑 

晕死，作为观海的铁蛋粉丝，好久不减，竟然翻脸不认人了，好多权限都没有。
本来要发到招聘兼职专栏的，愣是发布上去。
只好来找这个板块了，作为心理委员协会的前身，
当年最大的社团梦工场-心里健康协会的创始人，
作为倪世光老师的铁杆小老弟，
我相信你们敢删贴，倪老师应该不会答应的。
不信你当面问问他老人家！反正去深圳的机票，师兄指定不会帮你们出的！


招聘“校花”一名，要求知书达礼，秀外慧中，落落大方！！！
招聘“校曹”一枚，要求气质不凡、才华出众，志存高远！！！

工作内容：
1、1月14日，陪本尊参加威海微商大会，日薪499元，根据个人情况可以提出更高要求，但限于998元；
2、如果表现良好，可以任本尊助理1年，年薪供一年的大学生活开支物语。

简历投递至：hetianxia@vip.126.com；手机/微信同号：18606310034.


面试一般安排在1月13号上午10点，或者根据情况，免予面试，但需要提供充分条件。


请有缘人早日来投奔，以谋大业~~~




",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045042
2045043,"[手机]
想出我的游戏本了",shihao,2017-1-9 06:54:09,想换自己的笔记本了。。拯救者i74700HQ3.6G~960的显卡~1t硬盘~8g运存。去年的这个月买的。。。当时7000买的....问题是我不打游戏。。楼主一直用来做建模分析的。。有诚意的带价来。916960629来自: Android客户端,http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045043
2045044,"[求租]
校内两单间房出租(假期可短租,时间1.15日-2.25日)",天津海通戴,2017-1-9 07:52:54," 校内地址位于情人坡教工宿舍区，为三室一厅的房间。本人住一间，其余两间对外出租。房间位置环境优雅安静。两卧均双人床，室内配有衣柜、热水器、冰箱、全自动洗衣机等。校内网、水、电、暖等齐全，费用均摊。   留校的同学假期也可短租。可分租也可以整租。时间1.15日--2.25日。
   联系电话：13820846874

",http://bbs.ghtt.net/forum.php?mod=viewthread&mobile=1&tid=2045044
